,artist id,artist popularity,genres,name,uri,url
131,7keGfmQR4X5w0two1xKZ7d,68,"['deep tropical house', 'edm', 'new french touch', 'tropical house']",Kungs,spotify:artist:7keGfmQR4X5w0two1xKZ7d,https://open.spotify.com/artist/7keGfmQR4X5w0two1xKZ7d
133,6i1GVNJCyyssRwXmnaeEFH,67,"['big room', 'dance pop', 'deep big room', 'deep tropical house', 'edm', 'electro house', 'house', 'pop', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",Syn Cole,spotify:artist:6i1GVNJCyyssRwXmnaeEFH,https://open.spotify.com/artist/6i1GVNJCyyssRwXmnaeEFH
134,31TPClRtHm23RisEBtV3X7,82,"['dance pop', 'pop', 'pop rap']",Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7
136,3TVXtAsR1Inumwj472S9r4,97,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4
140,163tK9Wjr9P9DmM0AVK7lm,78,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,https://open.spotify.com/artist/163tK9Wjr9P9DmM0AVK7lm
142,0du5cEVh5yTK9QJze8zA0C,89,"['dance pop', 'pop', 'post-teen pop']",Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C
148,0ZrpamOxcZybMHGg1AYtHP,68,"['dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",Robin Thicke,spotify:artist:0ZrpamOxcZybMHGg1AYtHP,https://open.spotify.com/artist/0ZrpamOxcZybMHGg1AYtHP
153,53XhwfbYqKCa1cC15pYq2q,90,"['modern rock', 'rock']",Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q
154,04gDigrS5kc9YWfZHwBETP,91,['pop'],Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP
155,6JL8zeS1NmiOftqZTRgdTz,80,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",Meghan Trainor,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz
158,0hCNtLu0JehylgoiP8L4Gh,90,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap']",Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh
159,4tZwfgrHOc3mvqYlEYSvVi,82,"['electro', 'filter house']",Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi
161,4dpARuHxo51G3z768sgnrY,85,"['british soul', 'pop', 'uk pop']",Adele,spotify:artist:4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY
164,0gadJ2b9A4SKsB1RFkBb66,76,"['indie folk', 'neo mellow', 'pop']",Passenger,spotify:artist:0gadJ2b9A4SKsB1RFkBb66,https://open.spotify.com/artist/0gadJ2b9A4SKsB1RFkBb66
165,0id62QV2SZZfvBn9xpmuCl,77,['r&b'],Aloe Blacc,spotify:artist:0id62QV2SZZfvBn9xpmuCl,https://open.spotify.com/artist/0id62QV2SZZfvBn9xpmuCl
168,16oZKvXb6WkQlVAjwo2Wbg,80,"['folk-pop', 'indie folk', 'modern rock', 'stomp and holler']",The Lumineers,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg
