,acousticness,danceability,duration_ms,energy,explict,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,uri,url,valence,Hit
160,0.0524,0.768,235853,0.738,False,3YJlTDtUXu1sGh8lunblkG,3.01e-05,0.0561,-3.017,Only Girl (In The World),7,0.0406,125.928,spotify:track:3YJlTDtUXu1sGh8lunblkG,https://open.spotify.com/track/3YJlTDtUXu1sGh8lunblkG,0.685,n
161,0.13,0.7290000000000001,228293,0.777,False,7h8Ud480Fm4ReUVxgFF9ZX,0.0,0.0541,-5.112,Rolling In The Deep,60,0.0293,104.946,spotify:track:7h8Ud480Fm4ReUVxgFF9ZX,https://open.spotify.com/track/7h8Ud480Fm4ReUVxgFF9ZX,0.527,n
162,0.0444,0.718,219466,0.82,False,45kbpUIFmkS9Xla7hMXpzn,0.0,0.0846,-3.4530000000000003,One More Night,49,0.0323,92.99799999999999,spotify:track:45kbpUIFmkS9Xla7hMXpzn,https://open.spotify.com/track/45kbpUIFmkS9Xla7hMXpzn,0.613,y
163,0.395,0.466,223240,0.40299999999999997,False,6oDPg7fXW3Ug3KmbafrXzA,0.0,0.111,-6.142,Wrecking Ball,11,0.0337,119.81,spotify:track:6oDPg7fXW3Ug3KmbafrXzA,https://open.spotify.com/track/6oDPg7fXW3Ug3KmbafrXzA,0.337,y
164,0.385,0.509,252866,0.5379999999999999,False,7DFNE7NO0raLIUbgzY2rzm,0.0,0.10400000000000001,-7.335,Let Her Go,77,0.0572,75.089,spotify:track:7DFNE7NO0raLIUbgzY2rzm,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm,0.244,y
165,0.0332,0.531,255906,0.77,False,1FsH6OZCKLWbBgqj8JcCvO,0.0,0.235,-7.205,The Man,11,0.0434,85.99600000000001,spotify:track:1FsH6OZCKLWbBgqj8JcCvO,https://open.spotify.com/track/1FsH6OZCKLWbBgqj8JcCvO,0.504,y
166,0.0222,0.738,231466,0.7440000000000001,True,5IWmU2PNimgYuTLddU2DRo,0.0,0.331,-4.757,Payphone,3,0.042,110.0,spotify:track:5IWmU2PNimgYuTLddU2DRo,https://open.spotify.com/track/5IWmU2PNimgYuTLddU2DRo,0.556,y
167,0.267,0.708,199373,0.752,False,2VhPOtIQw2UpQmRVevdviU,0.0,0.377,-4.401,Bang Bang,62,0.0886,150.058,spotify:track:2VhPOtIQw2UpQmRVevdviU,https://open.spotify.com/track/2VhPOtIQw2UpQmRVevdviU,0.733,y
168,0.779,0.685,161226,0.474,False,1jdNcAD8Ir58RlsdGjJJdx,1.23e-06,0.149,-9.105,Ho Hey,20,0.0313,79.991,spotify:track:1jdNcAD8Ir58RlsdGjJJdx,https://open.spotify.com/track/1jdNcAD8Ir58RlsdGjJJdx,0.36,y
169,0.0309,0.545,255093,0.78,False,3zKST4nk4QJE77oLjUZ0Ng,4.6399999999999996e-05,0.0828,-4.867,Hey Brother,21,0.0436,125.014,spotify:track:3zKST4nk4QJE77oLjUZ0Ng,https://open.spotify.com/track/3zKST4nk4QJE77oLjUZ0Ng,0.45799999999999996,y
170,0.0116,0.758,231840,0.5539999999999999,False,2fQxE0jVrjNMT9oJAXtSJR,0.0,0.0418,-4.567,Domino,69,0.0341,126.986,spotify:track:2fQxE0jVrjNMT9oJAXtSJR,https://open.spotify.com/track/2fQxE0jVrjNMT9oJAXtSJR,0.7829999999999999,y
171,0.0746,0.755,199693,0.8320000000000001,False,4srpHYFHKjVGRDNHqRpWxi,1.27e-06,0.29100000000000004,-2.741,TiK ToK,7,0.11599999999999999,120.03200000000001,spotify:track:4srpHYFHKjVGRDNHqRpWxi,https://open.spotify.com/track/4srpHYFHKjVGRDNHqRpWxi,0.735,n
172,0.34600000000000003,0.778,242733,0.547,False,1mKXFLRA179hdOWQBwUk9e,0.000302,0.132,-7.273,Just Give Me a Reason (feat. Nate Ruess),82,0.0489,95.00200000000001,spotify:track:1mKXFLRA179hdOWQBwUk9e,https://open.spotify.com/track/1mKXFLRA179hdOWQBwUk9e,0.441,n
173,0.124,0.8490000000000001,237400,0.826,False,6w1hZMlo2SVuq29liebhb8,2.28e-06,0.0869,-4.609,Poker Face,6,0.0752,119.00200000000001,spotify:track:6w1hZMlo2SVuq29liebhb8,https://open.spotify.com/track/6w1hZMlo2SVuq29liebhb8,0.753,y
